,Theta,Phi,A1,A2,delvec,delang,norm
129,3.89,63.88999999999979,"[37.9919891802, 71.2877391668]","[-42.7410076344, 68.545903045]",0.00034150012830303346,3.3578126021893695e-06,139.9142618552377
130,3.89,63.88999999999979,"[37.9919891802, 71.2877391668]","[161.4659936292, 5.483672243599997]",0.00034150012830303346,4.254139042814131e-06,213.72256903832078
131,3.89,63.88999999999979,"[-120.30799214620001, -27.418361217999998]","[-83.8990091174, 90.48059201939999]",0.0004971435032188135,6.876170964176254e-06,213.72258729184657
132,3.89,63.88999999999979,"[-42.7410076344, 68.545903045]","[-80.7329968146, -2.7418361217999987]",0.0003415004602500388,7.611951630792646e-06,139.91427732116782
133,3.89,63.88999999999979,"[-42.7410076344, 68.545903045]","[37.9919891802, 71.2877391668]",0.0003415004602500388,3.3578126021893695e-06,139.9142618552377
134,3.89,63.88999999999979,"[-42.7410076344, 68.545903045]","[-161.4659936292, -5.483672243599997]",0.0003415004602500388,7.611951630792646e-06,213.72258729184657
135,3.89,63.88999999999979,"[-121.89099829759999, 19.1928528526]","[-77.5669845118, -95.964264263]",0.0004971437312461056,1.5996079412161635e-06,213.72256903832078
136,3.89,63.88999999999979,"[161.4659936292, 5.483672243599997]","[42.7410076344, -68.545903045]",0.000649267823693427,7.611951630792646e-06,213.72258729184657
137,3.89,63.88999999999979,"[161.4659936292, 5.483672243599997]","[37.9919891802, 71.2877391668]",0.000649267823693427,4.254139042814131e-06,213.72256903832078
138,3.89,63.88999999999979,"[-161.4659936292, -5.483672243599997]","[-37.9919891802, -71.2877391668]",0.000649267823693427,4.254139042814131e-06,213.72256903832078
139,3.89,63.88999999999979,"[-161.4659936292, -5.483672243599997]","[-42.7410076344, 68.545903045]",0.000649267823693427,7.611951630792646e-06,213.72258729184657
140,3.89,63.88999999999979,"[83.8990091174, -90.48059201939999]","[120.30799214620001, 27.418361217999998]",0.0005156331404998675,6.876170964176254e-06,213.72258729184657
141,3.89,63.88999999999979,"[-77.5669845118, -95.964264263]","[-121.89099829759999, 19.1928528526]",0.0005156325542365241,1.5996079412161635e-06,213.72256903832078
142,3.89,63.88999999999979,"[77.5669845118, 95.964264263]","[121.89099829759999, -19.1928528526]",0.0005156325542365241,1.5996079412161635e-06,213.72256903832078
143,3.89,63.88999999999979,"[-83.8990091174, 90.48059201939999]","[-120.30799214620001, -27.418361217999998]",0.0005156331404998675,6.876170964176254e-06,213.72258729184657
144,4.41,56.109999999999815,"[-305.5190590612, 523.6906992638001]","[-606.288978455, -2.741836121799963]",0.0024878187621842924,7.629211260962165e-06,1050.1340939556653
145,4.41,56.109999999999815,"[-305.5190590612, 523.6906992638001]","[300.7699193938, 526.4325353856]",0.0024878187621842924,3.7549610425458013e-06,1050.1339734900969
146,4.41,56.109999999999815,"[305.5190590612, -523.6906992638001]","[606.288978455, 2.741836121799963]",0.0024878187621842924,7.629211260962165e-06,1050.1340939556653
147,4.41,56.109999999999815,"[305.5190590612, -523.6906992638001]","[-300.7699193938, -526.4325353856]",0.0024878187621842924,3.7549610425458013e-06,1050.1339734900969
148,4.41,56.109999999999815,"[606.288978455, 2.741836121799963]","[305.5190590612, -523.6906992638001]",0.0025974319959523556,7.629211260962165e-06,1050.1340939556653
149,4.41,56.109999999999815,"[606.288978455, 2.741836121799963]","[300.7699193938, 526.4325353856]",0.0025974319959523556,3.874250218416364e-06,1050.1339722277971
150,4.41,56.109999999999815,"[-606.288978455, -2.741836121799963]","[-305.5190590612, 523.6906992638001]",0.0025974319959523556,7.629211260962165e-06,1050.1340939556653
151,4.41,56.109999999999815,"[-606.288978455, -2.741836121799963]","[-300.7699193938, -526.4325353856]",0.0025974319959523556,3.874250218416364e-06,1050.1339722277971
152,4.41,56.109999999999815,"[300.7699193938, 526.4325353856]","[-305.5190590612, 523.6906992638001]",0.0024773618843626864,3.7549610425458013e-06,1050.1339734900969
